,Year,Media,Title,Released,Consumed
0,"25,000 BBY",F,Untitled Star Wars film (James Mangold),Uknown,False
1,382 BBY,N,The High Republic: Convergence ,2022-11-22,False
2,382 BBY,JR,The High Republic: Quest for the Hidden City ,2022-11-01,False
3,382 BBY,N,The High Republic: Path of Deceit,2022-10-04,False
4,382 BBY,C,The High Republic Adventures: Quest of the Jedi,2023-04-26,False
5,382 BBY,C,The High Republic — The Blade 1 ,2022-12-28,False
6,382 BBY,C,The High Republic — The Blade 2 ,2023-01-25,False
7,382 BBY,C,The High Republic — The Blade 3 ,2023-03-01,False
8,382 BBY,C,The High Republic — The Blade 4 ,2023-03-29,False
9,382 BBY,C,The High Republic Adventures (2022) 1 ,2022-11-30,False
10,382 BBY,C,The High Republic Adventures (2022) 2 ,2023-01-11,False
11,382 BBY,C,The High Republic Adventures (2022) 3 ,2023-03-15,False
12,382 BBY,C,The High Republic Adventures (2022) 4 ,2023-05-03,False
13,382 BBY,A,The High Republic: The Battle of Jedha ,2023-01-03,False
14,382 BBY,C,"""Peace and Unity"" — The High Republic (2022) 1 ",2022-10-12,False
15,382 BBY,C,The High Republic (2022) 1 ,2022-10-12,False
16,382 BBY,C,The High Republic (2022) 2 ,2022-11-09,False
17,382 BBY,C,The High Republic (2022) 3 ,2022-12-28,False
18,382 BBY,C,The High Republic (2022) 4,2023-01-11,False
19,382 BBY,C,The High Republic (2022) 5,2023-02-08,False
20,382 BBY,C,The High Republic Adventures (2022) 5 ,2023-05-10,False
21,382 BBY,C,The High Republic Adventures (2022) 6 ,2023-06-28,False
22,382 BBY,C,The High Republic Adventures (2022) 7 ,2023-06-28,False
23,382 BBY,C,The High Republic Adventures (2022) 8 ,2023-06-28,False
24,382 BBY,C,The High Republic (2022) 6,2023-03-08,False
25,382 BBY,C,The High Republic (2022) 7 ,2023-03-29,False
26,382 BBY,C,The High Republic (2022) 8 ,2023-04-12,False
27,382 BBY,C,The High Republic (2022) 9 ,2023-05-10,False
28,382 BBY,N,The High Republic: Path of Vengeance ,2023-05-02,False
29,382 BBY,C,The High Republic (2022) 10 ,2023-05-24,False
